tag,count
road sign,76
tank,76
pendant,75
railroad track,75
tube,75
post,75
crocodile,75
wire fence,75
hotel,74
lettering,74
chandelier,74
whiteboard,74
press conference,74
cabin,74
glass table,73
candy cane,73
monitor,72
dollar,72
greeting card,72
team,72
pony,72
trash can,72
duckling,72
parking garage,71
football player,71
cave,70
mall,70
honey,70
apartment building,70
pie,70
texture,69
octopus,69
pitcher,69
area,69
sand dune,68
sit by,68
embrace,68
speech,68
profile,67
taxi,67
cob,67
grapefruit,66
christmas light,66
brick,66
rooster,66
museum,66
lavender,65
microwave,65
lace,65
audience,65
coffee mug,65
waffle,65
crystal,64
rack,64
tennis ball,64
narrow,64
grocery store,63
sheet music,63
tile,63
clock tower,63
cityscape,63
bin,63
dirt road,63
stop light,63
toothpaste,63
baseball player,63
fish tank,62
jungle,62
priest,62
bus stop,62
stroller,62
passport,62
brace,61
trophy,61
helicopter,61
frosting,61
yarn,61
hammock,61
barn,61
wine bottle,60
toe,60
work on,60
flavor,59
control,59
pan,59
sponge,59
wash,59
picnic table,59
salad,59
curb,59
dining room,59
glass bottle,59
gothic,59
mountain lake,58
wind turbine,58
queen,58
fireplace,58
footprint,58
teacher,57
kilt,57
cold,57
dresser,57
gas station,56
galaxy,56
glass window,56
surf,56
lamp post,56
sip,56
snowball,56
skier,55
remote control,55
storm cloud,55
globe,55
golf course,55
drawer,55
coconut,55
run through,55
bathroom sink,55
eagle,54
orchid,54
computer monitor,54
bob,54
trunk,54
donkey,54
album,54
cutting board,54
crow,54
telescope,54
stork,54
alligator,54
beer bottle,53
lid,53
oil,53
wallet,53
aisle,53
teapot,53
glacier,52
belly,52
dune,52
flower pot,52
mason jar,52
basketball game,52
pirate,52
run on,52
walkway,52
wheelchair,52
sailor,52
ingredient,52
bakery,52
dvd,52
brain,52
atmosphere,51
mattress,51
gym,51
tire,50
adjust,50
suspension bridge,50
lead,50
cube,50
flower field,50
tram,50
bull,49
recipe,49
dachshund,49
cattle,49
wheat,49
satellite,49
tricycle,49
graphic,49
restroom,49
harbor,49
wind farm,49
brick building,48
halloween,48
warning sign,48
patio,48
alphabet,48
raft,48
relax,48
beach chair,48
shake,48
stove,48
croissant,47
political,47
street art,47
faucet,47
swimmer,47
classic,47
vodka,47
glass door,47
oven,47
slide,47
dice,47
daffodil,47
racket,47
megaphone,46
mailbox,46
graduation,46
currency,46
hillside,46
thigh,46
olive,46
male,46
mini,45
cotton,45
hotel room,45
pilot,45
nail polish,45
ocean wave,45
spot,45
angry,45
turban,45
nightstand,45
seed,44
king,44
tennis racquet,44
garage door,44
skate,44
butter,43
conversation,43
evening,43
basketball hoop,43
brand,43
warm,43
chocolate chip cookie,43
cook,43
ripe,43
canal,43
shawl,43
picture frame,43
reed,43
nut,43
bare,43
calculator,42
ancient,42
soccer player,42
birthday party,42
bug,42
bridal,42
engagement ring,42
cushion,42
snowboarder,42
stone,42
jewel,42
badge,41
fawn,41
touch,41
comforter,41
trumpet,41
mail,41
car mirror,41
work,41
cabinet,41
office chair,41
drum,41
arch,41
disc,40
fiction,40
bright,40
throw,40
swinge,39
polka dot,39
medical,39
maple leaf,39
pear,39
bacon,39
computer mouse,39
homework,39
ladybug,39
motor scooter,39
pack,39
laptop keyboard,39
carnival,39
kitchen sink,38
steering wheel,38
document,38
sparkle,38
stare,38
leopard,38
boxing glove,38
emotion,38
nebula,38
shower curtain,38
watering can,38
hay,38
aircraft,38
politician,37
handle,37
trouser,37
blank,37
barrel,37
jam,37
football,37
gift box,37
moth,37
rock formation,36
denim,36
booth,36
formation,36
rectangle,36
lizard,36
diaper,36
print,36
cracker,36
campfire,35
religious,35
fishing boat,35
splash,35
sport team,35
speaker,35
orange tree,35
sea shell,34
ivy,34
fig,34
builder,34
kitchen counter,34
date,34
salon,34
electronic,34
passenger train,34
clothing store,34
crate,34
battery,34
convertible,34
medicine,33
charm,33
sausage,33
school student,33
wood floor,33
tangerine,33
board game,33
grave,33
protester,33
trolley,33
boardwalk,33
hanger,33
spiral,32
courtyard,32
hydrangea,32
club,32
cable car,32
onion,32
blade,32
shovel,32
explorer,32
jeep,32
stairway,32
ankle,32
sphere,32
train car,31
sibling,31
dirt,31
tennis player,31
beaver,31
shoot,31
sled,31
dust,31
stairwell,31
dome,31
ballet,31
christmas ornament,31
boxer,30
starfish,30
row,30
monk,30
soccer field,30
creek,30
ketchup,30
flow,30
mat,30
hotdog,30
quilt,30
organ,30
snow storm,30
foam,30
lick,30
wagon,29
mud,29
pepper,29
human,29
street corner,29
celebrate,29
rocking chair,29
photographer,29
romantic,29
brooch,29
fisherman,29
patch,29
summit,29
cigar,29
city bus,29
outdoor,29
syringe,29
bonfire,29
eiffel tower,29
calf,29
police,28
postcard,28
gear,28
wicker basket,28
spark,28
headset,28
worm,28
raven,28
turkey,28
water droplet,28
release,27
traffic sign,27
dining table,27
cottage,27
canoe,27
goal,27
lobster,27
chimney,27
powder,27
cowboy,27
cruise ship,27
explosion,27
fun,27
apple tree,27
thing,27
tide,27
enclosure,27
martial,27
shutter,27
ceramic,27
graduate,26
bedroom window,26
sauce,26
golf,26
steam,26
backyard,26
oil painting,26
herb,26
tourist attraction,26
wedding cake,26
form,26
pyramid,26
urinal,26
pomegranate,26
freezer,26
sugar,26
water fountain,26
cathedral,26
trailer,26
paper towel,26
border,26
spin,26
telephone pole,26
pool table,26
plain,25
tin,25
school bus,25
fern,25
cub,25
dog bed,25
biscuit,25
flower box,25
shrine,25
hook,25
orbit,25
palette,25
police car,25
freeway,25
bay,24
raccoon,24
podium,24
column,24
linen,24
pickup truck,24
corn field,24
vacation,24
news,24
marina,24
water drop,24
horseback,24
warehouse,24
